City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
90,Marystown,CA,2021-01-17 02:30:45,47.1666,-55.1483,29.37,95,90,8.16
91,Rio Grande,BR,2021-01-17 02:32:40,-32.035,-52.0986,73.99,91,27,14.5
92,Vestmanna,FO,2021-01-17 02:33:53,62.1564,-7.1664,42.8,93,40,18.41
93,Kiruna,SE,2021-01-17 02:33:53,67.8557,20.2251,15.8,86,84,6.91
94,Key Largo,US,2021-01-17 02:33:53,25.0865,-80.4473,64.0,73,59,11.27
95,Thompson,CA,2021-01-17 02:26:54,55.7435,-97.8558,5.0,78,90,14.97
96,Camopi,GF,2021-01-17 02:33:53,3.1655,-52.3158,71.65,98,100,1.59
97,Caravelas,BR,2021-01-17 02:33:54,-17.7125,-39.2481,74.89,85,93,6.35
98,Saint-Pierre,RE,2021-01-17 02:26:37,-21.3393,55.4781,78.8,73,0,5.75
99,Angoche,MZ,2021-01-17 02:33:54,-16.2325,39.9086,78.87,87,82,7.54
100,Pangnirtung,CA,2021-01-17 02:26:06,66.1451,-65.7125,7.16,90,100,5.59
101,Kankon,IN,2021-01-17 02:33:55,15.0167,74.0167,75.2,88,40,4.61
102,Coquimbo,CL,2021-01-17 02:24:20,-29.9533,-71.3436,59.0,88,0,5.75
103,Liverpool,GB,2021-01-17 02:33:56,53.4106,-2.9779,44.6,81,75,17.27
104,Iranshahr,IR,2021-01-17 02:33:56,27.2025,60.6848,46.4,15,0,6.91
105,Yenagoa,NG,2021-01-17 02:33:56,4.9247,6.2642,75.36,93,39,4.23
106,Tatawin,TN,2021-01-17 02:32:42,32.9297,10.4518,46.4,57,2,3.44
107,Tukrah,LY,2021-01-17 02:33:57,32.5341,20.5791,55.36,66,98,10.2
108,Cidreira,BR,2021-01-17 02:25:56,-30.1811,-50.2056,75.81,92,100,13.51
109,Qaqortoq,GL,2021-01-17 02:33:57,60.7167,-46.0333,19.4,49,90,4.61
110,Aswan,EG,2021-01-17 02:33:48,24.0934,32.907,52.99,50,0,5.99
111,Hambantota,LK,2021-01-17 02:25:32,6.1241,81.1185,75.2,100,75,4.61
112,Sambava,MG,2021-01-17 02:25:33,-14.2667,50.1667,75.92,86,99,6.35
113,Klaksvik,FO,2021-01-17 02:25:37,62.2266,-6.589,42.8,93,40,18.41
114,Iquitos,PE,2021-01-17 02:23:01,-3.7481,-73.2472,75.2,94,75,3.44
115,Makat,KZ,2021-01-17 02:33:58,47.6469,53.3463,23.32,95,62,2.95
116,Saint-Philippe,RE,2021-01-17 02:25:06,-21.3585,55.7679,78.8,73,0,5.75
117,Misasi,TZ,2021-01-17 02:33:58,-3.0,33.0833,65.37,90,97,2.37
118,Pisco,PE,2021-01-17 02:33:58,-13.7,-76.2167,68.0,83,0,17.27
119,Ribas Do Rio Pardo,BR,2021-01-17 02:33:59,-20.4431,-53.7592,73.24,89,100,7.67
120,Mattru,SL,2021-01-17 02:33:59,7.6244,-11.8332,73.81,95,76,2.15
121,Sao Filipe,CV,2021-01-17 02:25:23,14.8961,-24.4956,71.46,75,100,12.06
122,Hyeres,FR,2021-01-17 02:33:59,43.1167,6.1167,50.0,53,0,13.8
123,Maridi,SS,2021-01-17 02:34:00,4.9158,29.4742,67.3,34,95,2.46
124,Iqaluit,CA,2021-01-17 02:34:00,63.7506,-68.5145,-5.8,71,75,5.75
125,Itarema,BR,2021-01-17 02:34:00,-2.9248,-39.9167,77.88,85,36,10.8
126,Kemijarvi,FI,2021-01-17 02:26:10,66.7131,27.4306,14.81,95,88,5.32
127,Bayburt,TR,2021-01-17 02:34:01,40.2589,40.2278,27.72,95,100,6.71
128,Sistranda,NO,2021-01-17 02:34:01,63.7256,8.834,26.6,80,0,17.27
129,Jacareacanga,BR,2021-01-17 02:34:01,-6.2222,-57.7528,74.16,89,55,1.79
130,Vestmannaeyjar,IS,2021-01-17 02:26:37,63.4427,-20.2734,40.23,71,100,29.06
131,Banda Aceh,ID,2021-01-17 02:34:02,5.5577,95.3222,81.55,77,99,9.89
132,Saurimo,AO,2021-01-17 02:34:02,-9.6608,20.3916,62.04,96,91,1.77
133,Oranjestad,AW,2021-01-17 02:30:19,12.524,-70.027,77.0,78,20,14.97
134,Obigarm,TJ,2021-01-17 02:34:03,38.7173,69.7088,26.89,66,0,7.96
135,Namibe,AO,2021-01-17 02:25:57,-15.1961,12.1522,72.27,74,87,5.01
136,Calama,CL,2021-01-17 02:34:03,-22.4667,-68.9333,57.2,54,0,17.27
137,Kalengwa,ZM,2021-01-17 02:33:50,-13.4659,25.0027,60.82,96,93,4.59
138,Bandarbeyla,SO,2021-01-17 02:34:04,9.4942,50.8122,72.43,75,0,9.84
139,Saint-Joseph,RE,2021-01-17 02:26:30,-21.3667,55.6167,78.8,73,0,5.75
140,Sabha,LY,2021-01-17 02:34:05,27.0377,14.4283,43.75,55,0,6.49
141,Ambilobe,MG,2021-01-17 02:26:20,-13.2,49.05,73.54,94,95,2.17
142,Grand-Lahou,CI,2021-01-17 02:26:44,5.1367,-5.0242,78.57,86,0,8.88
143,Diamantina,BR,2021-01-17 02:33:40,-18.2494,-43.6003,60.31,100,82,7.11
144,Apeldoorn,NL,2021-01-17 02:34:05,52.21,5.9694,32.0,100,90,5.75
145,Mount Vernon,US,2021-01-17 02:34:06,40.9126,-73.8371,39.99,60,20,8.05
146,Sebinkarahisar,TR,2021-01-17 02:34:06,40.2883,38.4236,35.01,90,100,5.17
147,Vila Velha,BR,2021-01-17 02:26:13,-20.3297,-40.2925,77.0,78,0,4.61
148,Puerto Leguizamo,CO,2021-01-17 02:34:07,-0.1934,-74.7819,75.56,74,100,2.04
149,Saint George,US,2021-01-17 02:31:28,37.1041,-113.5841,55.4,33,1,9.22
150,Uarini,BR,2021-01-17 02:34:07,-2.99,-65.1083,74.59,96,79,2.3
151,Gilbues,BR,2021-01-17 02:34:07,-9.8317,-45.3439,73.15,82,76,2.06
152,Gat,IL,2021-01-17 02:25:47,31.61,34.7642,53.01,57,0,1.99
153,Kangaatsiaq,GL,2021-01-17 02:34:08,68.3065,-53.4641,7.74,85,100,14.54
154,Ailigandi,PA,2021-01-17 02:34:08,9.2333,-78.0167,78.49,81,98,10.58
155,Ponta Do Sol,PT,2021-01-17 02:25:38,32.6667,-17.1,54.0,66,41,3.0
156,Korla,CN,2021-01-17 02:34:08,41.7597,86.1469,17.13,80,0,6.2
157,Codrington,AU,2021-01-17 02:34:05,-38.2667,141.9667,62.76,55,29,13.31
158,Cockburn Town,TC,2021-01-17 02:25:58,21.4612,-71.1419,77.0,83,75,1.14
159,Verkhniye Sergi,RU,2021-01-17 02:34:09,56.6469,59.5556,12.51,95,100,10.98
160,Oshakati,NA,2021-01-17 02:34:09,-17.7833,15.6833,77.0,53,94,5.75
161,Baoro,CF,2021-01-17 02:34:10,5.6667,15.9667,65.25,31,29,1.66
162,Nyandoma,RU,2021-01-17 02:33:10,61.669,40.1991,-10.91,90,62,3.15
163,Atasu,KZ,2021-01-17 02:25:46,48.6814,71.6433,5.45,94,13,6.15
164,Segou,ML,2021-01-17 02:34:11,13.4317,-6.2157,66.18,23,100,12.19
165,Kismayo,SO,2021-01-17 02:26:59,-0.3582,42.5454,75.97,86,13,11.12
166,Wattegama,LK,2021-01-17 02:34:12,6.7989,81.4808,75.2,100,75,4.61
167,Plettenberg Bay,ZA,2021-01-17 02:26:06,-34.0527,23.3716,66.67,79,85,7.45
168,Shache,CN,2021-01-17 02:34:12,38.4167,77.2406,19.22,81,0,5.68
169,Tougan,BF,2021-01-17 02:34:13,13.0667,-3.0667,68.09,22,60,11.41
170,Bocanda,CI,2021-01-17 02:34:13,7.0626,-4.4995,74.86,82,0,3.18
171,Altamira,BR,2021-01-17 02:34:13,-3.2033,-52.2064,73.42,88,99,1.9
172,Nea Karvali,GR,2021-01-17 02:34:13,40.9617,24.51,30.0,69,100,5.01
173,Piacabucu,BR,2021-01-17 02:25:28,-10.4056,-36.4344,76.75,81,5,8.37
174,Xai-Xai,MZ,2021-01-17 02:34:12,-25.0519,33.6442,79.02,89,98,12.93
175,Den Helder,NL,2021-01-17 02:31:05,52.9599,4.7593,34.0,93,75,10.36
176,Sangmelima,CM,2021-01-17 02:34:14,2.9333,11.9833,66.96,98,64,2.64
177,Kimberley,ZA,2021-01-17 02:34:14,-28.7323,24.7623,51.8,87,0,6.11
178,Zakopane,PL,2021-01-17 02:34:15,49.299,19.9489,17.01,86,90,9.22
179,Carutapera,BR,2021-01-17 02:25:34,-1.195,-46.02,77.68,82,39,5.35
